Sample	label	B02_AGPase	A21_Alanine aminotransferase	A22_Aspartate aminotransferase	A24_Citrate synthase	A15_G6P DH	C03G_Glucokinase	D02_Glutamate DH (NAD)	A07_Malate DH (NAD)	A04i_Malate DH initial (NADP)	A04t_Malate DH total (NADP)	A13_PEP Carboxylase	B03_Phosphofructokinase (PPi)	A02t_Phosphoglucose Isomerase (total)	A23_Pyruvate kinase	B16_FBP-Aldolase	"C01_Fructose-1,6-bisphosphatase (cyt)"	B08NAD_GAPDH (NAD)	B08NADP_GAPDH (NADP)	A16_NADP-Isocitrate DH	A06_Phosphoglucomutase	A14_Phosphoglycerokinase_direct	C03F_Fructokinase	A10_Neutral Invertase	B11max_Rubisco (maximal)
W inf 6_1	W inf6	NaN	2194.95	1024.75	965.75	198.73	130.6	513.76	8732.44	40.74	353.78	823.59	1007.14	1573	1140.4	36471.3		7177.52	3941.39	238.48	2740.5	71954.7	141.02	304.49	4421.11
W inf 6_2	W inf6	NaN	934.64	822.59	714.23	143.57	10.77	437.39	8156.49	18.19	275.16	689.66	NaN	1226.37	879.29	23678.7	137.36	5282.15	3019.71	448.55	2070.53	72395.6	172.57	280.65	6735.61
W inf 6_3	W inf6	NaN	1481.48	817.26		366.98	144.47		7527.86	45.34	93.68	642.65	223.03	1315.28	889.56	16271.1	209.88	4306.3	2749.99	244.36	1351.55	37742.5	237.6	394.4	9046.05
W inf 6_4	W inf6	NaN	1705.46	773.44	1068.25	NaN	111.99		6383.51	33.06	156.62	551.55	299.92	630.14	703.8	20136.2	277.62	6517.13	3960.79	323.23	2129.08	70494.6	209.52	449.78	
W inf 6_5	W inf6	161.86	2101.87	610.51	707.04	567.39	64.03	235.32	7002.72	41.93		500.27	525.19	1346.53	689.28	14415.7	748.77	4651.44	2935.88	712.73	2058.8	60696.2	255.61	568.14	6757.39
W inf 6_6	W inf6	143.85	1947.27	NaN	828.6	800.26	402.69	226.84	6223.86	145.02	221.53	821.4	253.85	1152.05	510.03	11869.2	300.51	4442.59	3641.82	732.54	2396.81	61695.3	314.85	551.19	7248.2
AM inf 6_1	AM inf6	86.95	NaN	713.18	575.72		114	411.27	5940.41	NaN	329.79	780.96	181.22	917.22	839.59	20335.1	523.26	6738.36	2951.21	291.01	2174.35	79008.8	216.65	415.5	5307.49
AM inf 6_2	AM inf6	327.33	2871.82	851.03	661.81	NaN	127.96	663.77	9438.53	NaN	309.68	781.69	318.58	1090.29	969.24	30538	136.34	6870.21	3259.06	214.52	2233.98	70775.6	360.36	429.74	3947.36
AM inf 6_3	AM inf6	NaN	1739.57	1020.05	269.72	460.46	87.03		5735.5		193.26	557.65	263.74	965.62	432.85	15356.8	215.65	4231	2305.64	251.08	1526.81	29364.6	162.79	295.34	5464.29
AM inf 6_4	AM inf6	NaN	2908.81	879.91	NaN	451.08	192.94	104.72	4847.66	NaN	139.12	746.77	230.25	1101.02	594.04	16432.6	224.95	4320.08	3572.65	261.91	1655.59	39665.6	312.68	288.64	8898.3
AM inf 6_5	AM inf6	150.5	961.14	731.1	614.9	167.88	188.17	181.36	6511.21	111.05	720.54	535.41	600.18	1059.25	666.57	11155.9	NaN	2638.47	1957.64	755.19	1919.81	55248.4	255.89	519.86	5500.81
AM inf 6_6	AM inf6	101.93	1688.84	457.37	351.04	235.52	177.41	247.68	4410.02	22.84	104.15	605.23	NaN	1087.16	549.83	9299.71	450.97	1758.83	1270.78	358.62	1698.66	49886.1	276.22	332.38	5379.07
W inf 24_1	W inf24	2287.35	1149.48	699.14		171.2	171.25	10305.8	73.53	270.76	915.74	NaN	1062.76	766.49	NaN	611.46	5440.52	4555.97	397.91	1981.64	60248.9	270.96	179.77	301.07	5089.56
W inf 24_2	W inf24	1618.94	574.34	576.56	82.99	NaN	117.56	6357.93	30	194.91	606.09	NaN	824.18	768.82	NaN	233.03	5658.7	2928.27	731.26	1867.63	57006.6	253.83	152.03	286.48	5314.78
W inf 24_3	W inf24	1540.34	1312.43	586.94	107.78	164.37	58.1	3377.27	52.35	166.52	515.14	297.09	886.23	777.37	12814.1	148.87	5336.85	4266.05	173.33	1434.97	31243.7	222.31	104.19	372.29	11127.3
W inf 24_4	W inf24	1731.28	1247.62	NaN		81.18	43.38	4022.4	57.95	153.23	446.21	200.66	808.3	791.67	10942.4	234.09	5006.13	3521.75	272.55	1509.1	27469.1	106.83	118.49	363.37	3339.67
W inf 24_5	W inf24	2213.14	1269.83		NaN	137.59	NaN	4086.64	58.63	208.44	456.53	264.56	1002.85	711.58	21545.2	313.32	7200.15	6233.88	234.87	1959.9	65355.7	NaN		260.37	5088.95
W inf 24_6	W inf24	1363.82	1094.45	230.41	76.09	234.18	125.42	2971.71	87.12	662.28	473.92	NaN	875.91	615.55	15051.5	288.22	6551.38	4084.31	916.02	1686.06	51785.1	NaN	102.22	259.35	2006.16
AM inf 24_1	AM inf24	1510.02	671.94	581.43	120.53		71.55	2534.74	62.08	158.99	381.65	362.68	791.25	589.74	10443.7	NaN	5255.01	2081.17	659.76	1235.92	51245.8	172.01	208.27	145.94	3773.29
AM inf 24_2	AM inf24	1717.52	771.39	656.16	105.3	30.68	101.54	7659.38	58.35	197.53	463.59	252.36	1065	656.01	NaN	NaN	6287.95	2066.76	462.48	1828.93	64701.4	318.7	123.45	280.03	5462.27
AM inf 24_3	AM inf24	1626.22	680.79	799.01		17.54	75.12	3054.76	18.68	141.76	270.45	200.29	611.03	319.21	13516.2	138	4691.93	2973.46	160.67	1406.79	32032.1	163.56	80.67	367.02	3905.6
AM inf 24_4	AM inf24	1325.87	1122.98	249.42	136.16	53.74	54.72	2887.63	49.26	125.8	437.7	181.52	713.94	641.8	12828.4	162.07	4805.35	2943.17	188.7	1667.98	37790.9	357.38	156.96	351.34	2988.65
AM inf 24_5	AM inf24	1428.5	1119.93	581.61	145.72	226.58	96.27	3705.46	60.22	178.88	442.54	NaN	772.95	618.16	12314.5	232.41	6748.11	2891.64	670.4	1902.64	58442.4	NaN	244.34	485	5636.75
AM inf 24_6	AM inf24	1268.5	876.21	285.8	NaN	NaN	55.37	3320.75	39.71	222.14	467.04	462.8	976.41	694.15	14389.8	NaN	6800.22	3639.37	806.53	1811.69	59299.5	NaN	297.14	538.72	4390.59
W inf 48_1	W inf48	1516.15	589.28	1141.03	571.57	63.99	294.87	8863.02	51.02	240.87	687.78	437.8	1215.58	814.87	NaN	133.91	5025.81	2877.07	710.63	1973.32	59846.3	190.48	174.75	415.14	2992.01
W inf 48_2	W inf48	1750.78	650.26	1455.16	869.55	171.27	444.43	8484.62	87.34	260.93	1066.63		1525.12	973.39	NaN	69.47	4917.45	2408.83		2822.12	64986.6	251.83	191.42	508.76	1091.36
W inf 48_3	W inf48	1768.5	1142.02	1447.74	451.71	NaN	120.23	4231.9	48.49	168.42	493.41	259.32	983.64	674.22	12001.4	383.93	5979.95	3323.42	447.01	1539.18	69515.7	209	193.01	596	1537.92
W inf 48_4	W inf48	1694.82	1561.74	1034.07	572.24	NaN	182.66	7609.65	42.59		635.45	230.02	1252.67	728.62	17006.1	517.12	5654.13	3498.78	602.08	2147.3	80245.3	NaN	111.48	580.68	1399.03
W inf 48_5	W inf48	1996.58	701.06	780.71	758.55	180.67	121.88	5504.65	145.63	549.47	556.1	539.48	907.64	680.68	10643.2	558.76	7999.52		921.22	1732	51502.2	NaN	188.27	834.1	4168.2
W inf 48_6	W inf48	1666.87	937.33	490.14	454.32	88.06	220.17	3909.07	57.64	247.26	486.66	544.44	1129.9	755.97	18055.4	219.84	7846.92	1972.53	715.73	1699.9	57042.2	NaN		774.15	4436.65
AM inf 48_1	AM inf48	1318.26	343.99	881.66	457.48	31.22	140.59	7191.25	48.26	191.38	615.32	104.95	825.4	622.08	NaN	310.18	3170.72	2667.81	637.08	794.8	46617.4	212.6	150.6	363.59	3290.7
AM inf 48_2	AM inf48	1193.59	339.64	946.66	479.01	80.12	240.68	7403.86	64.26	199.94	668.31		780.53	633.34	NaN	322.44	3200.91	4003.83	1011.23	1573.3	53570.7	188.18	151.84	382.31	1625.41
AM inf 48_3	AM inf48	899.04	722.86	NaN	430.6	225.99	81.72	3706.17	NaN	198.3	517.04	227.21	1199.06	722.42	16007.5	380.34	5839.32	3436.19	442.83	1533.93	36069.4		207.1	389.78	4533.17
AM inf 48_4	AM inf48	397.14	831.7	237.47	715.11	101.7		3164.82	22.4	117.93	485.48	242.84	950.83	355.28	13420.9	213.44	5050.56	3935.14	248.51	1587.32	64639.3	159.57		479.85	4202.75
AM inf 48_5	AM inf48	1885.6	643.3	548.08		127.45	140.47	4488.31	30.16		321.39	205.03	3014.97	601.7	10370.9	333.09	3702.89	1704.93	298.58	1416.99	57612.7	NaN	102.54	701.13	4538.11
