Sample ID Enyzmomics	Treatment	Plant material	Timepoint	Specie	
4387_RB_A_03	water (control)	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_A_04	water (control)	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_A_05	water (control)	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_A_06	water (control)	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_D_21	Water inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_D_22	Water inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_D_23	Water inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_D_24	Water inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_B_09	AM	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_B_10	AM	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_B_12	AM	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_E_27	AM inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_E_28	AM inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_E_29	AM inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
4387_RB_E_30	AM inf	Adult leaves 3 and 4	24 hpi	Solanum lycopersicum	
					
					
					
