control_24_1	control_24_2	control_24_3	myco_24_1	myco_24_2	myco_24_3	NMINF_24_1	NMINF_24_2	NMINF_24_3	AMINF_24_1	AMINF_24_2	AMINF_24_3
Solyc10g086580.2.1	28062.861381078	27680.8787744632	23558.1009703601	21582.4415316489	19473.057139442	17774.3932330992	23393.1846152104	18639.9752298421	20985.0255400498	20085.0792692713	20392.4985799421	16903.3844607772
Solyc00g500064.1.1	33093.8275626448	50606.2468003083	34779.070578038	25607.6714633631	28617.0911061505	25973.3178267699	29578.0518249064	28851.8368476323	31153.7207094057	29711.1167057917	26798.8190224674	26763.221796026
Solyc00g500063.1.1	124167.732459402	119603.258941566	123896.591411973	97580.5841619161	105323.674368048	96228.7270654537	108238.55328611	120147.146203291	135394.082245512	119114.572591798	97785.8217197066	123038.89841513
Solyc09g011080.3.1	449.292861218072	792.385934718334	701.919290924793	648.234506580399	599.702890527503	569.792269666674	632.980528778102	518.872779552714	654.686099685194	630.006565209771	617.101598545841	457.44674892591
Solyc07g066610.3.1	22967.1081082352	19910.3777828328	21580.3795713835	17807.6866777517	17483.3869739617	16455.5724852027	19057.4975934079	17894.3686650593	18412.8885616809	18649.8776254638	16904.8035644576	15935.0390788313
Solyc02g091560.3.1	12727.6175322553	14971.1763297548	10844.9731487802	10962.8000752198	12221.1790093509	10768.6870121396	12456.40046465	12180.5954177814	10783.5621614686	10827.256132843	12278.5897608588	8202.36982714955
Solyc12g094620.3.1	9415.38279910445	14345.552569805	9173.92678616095	8173.94968719819	9009.39252567874	10444.1292612047	9957.30753539086	12259.852763633	8822.08932090151	8069.35986933921	10109.2386244733	5892.81550302121
Solyc02g065400.3.1	40566.2160796989	34991.0656039116	27205.1720771301	40194.628444508	37407.0185937166	25183.0342467456	36319.2350165013	34463.1710868814	27083.1236489599	33063.4834161958	36050.6466386778	20879.4665729595
Solyc06g073260.3.1	7633.40198443485	6971.5617041694	8277.26649958487	7417.17585629887	7410.62307341966	8213.73609626112	7642.47799413407	6782.73448795171	7737.33903351128	7928.26696750751	7204.03688576675	7175.51188370647
Solyc08g065220.3.1	6722.14337649639	5120.73398029443	6618.53418598185	5801.12803233848	5738.72157149078	6796.17109343218	6731.12027800872	6846.11273202711	6652.08392018177	6846.23029010389	6778.39443970484	5400.26794931086
Solyc10g018300.3.1	4520.63801614802	5801.27214309961	6435.60437814722	4508.75693026285	4013.98076950305	4996.84047375431	4378.01170135415	4404.49392537356	5446.37864937373	4874.1468884791	4029.46246484336	5372.49279080456
Solyc04g009030.3.1	12505.3585138208	12244.8162104531	12042.0548429672	12217.7193801402	10794.6973117066	10793.5603615874	13235.5675436136	11673.9699833868	13563.1866539713	14129.8365970973	12727.7487232027	9519.98221914443
Solyc02g080810.3.1	8850.65843346322	10602.9780323084	5539.92416215253	6509.93067907081	6722.81877774024	5846.93628161693	8186.34330911868	7735.49482155506	7075.70997760652	7338.86914345964	8013.9760983576	5486.48090651941
