geneID1	geneID2	reactionType
AT1G01050	AT1G01050	binding
AT1G01050	AT4G01480	binding
AT1G01090	AT1G01090	binding
AT1G01090	AT5G50850	binding
AT1G01120	AT1G01120	binding
AT1G01120	AT2G01950	binding
AT1G01140	AT1G01140	binding
AT1G01140	AT1G31880	binding
AT1G01140	AT2G34090	binding
AT1G01140	AT3G53900	binding
AT1G01140	AT4G01400	binding
AT1G01140	AT4G08150	binding
AT1G01140	AT4G17615	binding
AT1G01140	AT4G26570	binding
AT1G01140	AT4G39050	binding
AT1G01140	AT5G24270	binding
AT1G01140	AT5G47100	binding
AT1G01140	AT5G55990	binding
AT1G01200	AT1G01200	binding
AT1G01200	AT2G38360	binding
AT1G01200	AT2G42390	binding
AT1G01230	AT1G01230	binding
AT1G01230	AT1G11940	binding
AT1G01230	AT1G13770	binding
AT1G01230	AT1G17280	binding
AT1G01230	AT1G31812	binding
AT1G01230	AT1G62330	binding
AT1G01230	AT2G26180	binding
AT1G01230	AT2G27290	binding
AT1G01230	AT2G41705	binding
AT1G01230	AT3G08510	binding
AT1G01230	AT3G17000	binding
AT1G01230	AT3G17210	binding
AT1G01230	AT3G17611	binding
AT1G01230	AT3G26370	binding
AT1G01230	AT3G29270	binding
AT1G01230	AT3G51790	binding
AT1G01230	AT3G55440	binding
AT1G01230	AT3G62560	binding
AT1G01230	AT3G66654	binding
AT1G01230	AT4G19030	binding
AT1G01230	AT4G23400	binding
AT1G01230	AT4G27610	binding
AT1G01230	AT4G29330	binding
AT1G01230	AT4G30850	binding
AT1G01230	AT4G37370	binding
AT1G01230	AT4G37680	binding
AT1G01230	AT4G38690	binding
AT1G01230	AT5G03345	binding
AT1G01230	AT5G06320	binding
AT1G01230	AT5G08080	binding
AT1G01230	AT5G22290	binding
AT1G01230	AT5G25940	binding
AT1G01230	AT5G45750	binding
AT1G01230	AT5G49540	binding
AT1G01260	AT1G01260	binding
AT1G01260	AT1G32640	inhibition
AT1G01260	AT1G51600	binding
AT1G01260	AT1G52890	inh_TF
AT1G01260	AT1G56650	inh_TF
AT1G01260	AT3G18660	unk_TF
AT1G01260	AT3G62020	unk_TF
AT1G01260	AT4G02770	binding
AT1G01260	AT4G16430	binding
AT1G01260	AT4G17500	inh_TF
AT1G01260	AT5G46760	inhibition
AT1G01260	AT5G60690	unk_TF
AT1G01320	AT1G01320	binding
AT1G01350	AT1G01350	binding
AT1G01360	AT1G01360	binding
AT1G01360	AT1G72770	binding
AT1G01360	AT4G05420	binding
AT1G01370	AT1G01370	binding
AT1G01450	AT1G01450	binding
AT1G01470	AT1G22920	binding
AT1G01480	AT1G01480	binding
AT1G01480	AT1G05010	synthesis
AT1G01480	AT1G12010	synthesis
AT1G01480	AT1G62380	synthesis
AT1G01480	AT1G77330	synthesis
AT1G01480	AT2G19590	synthesis
AT1G01500	AT1G59520	binding
AT1G01510	AT1G01510	binding
AT1G01510	AT5G15170	binding
AT1G01510	AT5G17420	binding
AT1G01560	AT1G01560	binding
AT1G01560	AT4G29810	binding
AT1G01560	AT5G56580	binding
AT1G01610	AT4G27610	binding
AT1G01620	AT1G01620	binding
AT1G01620	AT1G11940	binding
AT1G01620	AT1G13770	binding
AT1G01620	AT1G59730	binding
AT1G01620	AT1G63120	binding
AT1G01620	AT1G65690	binding
AT1G01620	AT1G70760	binding
AT1G01620	AT1G77110	binding
AT1G01620	AT1G78920	binding
AT1G01620	AT2G01420	binding
AT1G01620	AT2G16850	binding
AT1G01620	AT2G26180	binding
AT1G01620	AT2G27290	binding
AT1G01620	AT2G36305	binding
AT1G01620	AT2G37170	binding
AT1G01620	AT2G37180	binding
AT1G01620	AT2G41490	binding
AT1G01620	AT2G45960	binding
AT1G01620	AT2G46330	binding
AT1G01620	AT3G02410	binding
AT1G01620	AT3G17611	binding
AT1G01620	AT3G53130	binding
AT1G01620	AT3G54820	binding
AT1G01620	AT3G55090	binding
AT1G01620	AT3G57650	binding
AT1G01620	AT3G66654	binding
AT1G01620	AT4G00430	binding
AT1G01620	AT4G14455	binding
AT1G01620	AT4G23010	binding
AT1G01620	AT4G23400	binding
AT1G01620	AT4G24090	binding
AT1G01620	AT4G35100	binding
AT1G01620	AT4G37680	binding
AT1G01620	AT4G38690	binding
AT1G01620	AT4G39950	binding
AT1G01620	AT5G03345	binding
AT1G01620	AT5G06320	binding
AT1G01620	AT5G16530	binding
AT1G01620	AT5G19570	binding
AT1G01620	AT5G20270	binding
AT1G01620	AT5G22290	binding
AT1G01620	AT5G27490	binding
AT1G01620	AT5G35460	binding
AT1G01620	AT5G49540	binding
AT1G01630	AT1G01630	binding
AT1G01630	AT1G68060	binding
AT1G01630	AT2G23790	binding
AT1G01630	AT3G11590	binding
AT1G01630	AT3G54850	binding
AT1G01630	AT4G21570	binding
AT1G01720	AT1G01720	binding
AT1G01720	AT1G01720	unk_TF
AT1G01720	AT1G70590	unk_TF
AT1G01720	AT1G72770	unk_TF
AT1G01720	AT2G20560	unk_TF
AT1G01720	AT2G33700	unk_TF
AT1G01720	AT3G02800	unk_TF
AT1G01720	AT3G11410	unk_TF
AT1G01720	AT4G28300	unk_TF
AT1G01720	AT5G54940	unk_TF
AT1G01720	AT5G65140	unk_TF
AT1G01760	AT1G01760	binding
AT1G01780	AT1G01780	binding
AT1G01790	AT1G01790	binding
AT1G01790	AT3G26370	binding
AT1G01790	AT3G66654	binding
AT1G01790	AT4G30850	binding
AT1G01790	AT5G22290	binding
AT1G01800	AT5G52650	binding
AT1G01820	AT1G01820	binding
AT1G01820	AT3G19720	binding
AT1G01860	AT1G01860	binding
AT1G01880	AT1G01880	binding
AT1G01910	AT1G01910	binding
AT1G01910	AT1G71950	binding
AT1G01910	AT1G75750	binding
AT1G01910	AT2G30490	binding
AT1G01910	AT3G08950	binding
AT1G01910	AT3G25220	binding
AT1G01910	AT4G00585	binding
AT1G01910	AT4G07990	binding
