treatment	"7,2'-dihydroxy-3',4'-dimethoxyisoflavane-7-O-glucoside"	Eriocitrin	Farrerol	Homonplantaginin	Isorhamnetin 3-O-neohesperidin	Luteolin	Narirutin	Neohesperidin	Plantagoside	Quercetin-3-O-sophoroside	Quercitrin	Spinosin	3-Dehidroshikimate	4-Coumaryl alcohol	Avicularin	Bavachin	Guaijaverin	Isoquercitrin	Kaempferitrin	Shikimic acid	Tomatine	2'-Deoxyguanosine 5'-monophosphate	(+)-Syringaresinol O-beta-D-glucoside (Acanthoside B); Siberian Ginseng Extrac	5-Demethylnobiletin	5-methoxyflavone	Flavone	Indole-3-carbinol	Kaempferol	L-Homocysteine	Liquiritigenin	Nobiletin	Phenylalanine	Rutin	Tangeretin	Tetrahydropiperine 	Vitexicarpin	6-Benzylaminopurine	6-Hydroxypurine	Apigenin 7-glucoside	Arginine	Coumarine	N-(3-indoleylacetyl)-L-alanine	Solasodine	Threonine	Trigonelline	Tyrosine	7;8-Dimethyl-10-ribitylisoalloxazine; Lactoflavin; Riboflavin; Vitamin B2 	4-Imidazoleacetate; Imidazole-4-acetate; Imidazoleacetic acid 	1-Methylnicotinamide; N(1)-Methylnicotinamide 	/ 2-Phenylacetamide	Corticosterone	Hydrocortisone
NM_24	47175.43961	24379.72611	3068.129738	181259.1398	26733.48942	147190.5514	6778.428625	242796.486	12676.33662	1937.51462	58445.34374	89808.55922	948.5720939	8731.700148	112060.8029	6433.858617	26557.32243	350245.319	1934.160281	10823.74834	10710210.1	253285.0625	248400.8734	44267.14045	26116.92749	75235.92446	17632.52419	191484.611	149268.9597	34958.50024	2960.184745	1258596.327	11301.69845	19299.17758	8898.039948	62148.64797	185281.3632	425917.6252	3670.594385	9562.110557	9982.628551	63690.59667	6840708.872	4507.200483	281094.04	40195.04636	110367.6484	16445.12109	425917.625	322910.0625	43475.96973	51079.57337
NM_24	51081.72333	36427.56683	10907.52505	199159.2912	25020.00453	102307.1099	19721.773	8372.351305	12300.41425	2043.594305	49558.22952	133845.4763	1610.274727	10365.25859	85984.53343	6668.881391	58805.09769	282209.4905	1651.537214	729313.9077	10567915.9	315570.0313	388631.597	61420.95597	11579.7699	78707.99195	16497.4134	41389.4675	215034.1623	32023.0985	3521.433668	1614795.53	14690.54707	28786.88517	9493.475146	89406.3156	183170.9853	502436.078	26016.57003	8398.198983	8872.958682	72118.18591	2396.286795	3999.045898	272733.4976	39032.79722	150120.6875	32781.05469	502436.0625	435336.6563	1052.632915	1408.497595
NM_24	42836.48319	13539.88949	5642.999649	191299.8436	28550.32689	85981.81821	18615.9905	220168.3404	7308.015668	2607.243273	55633.78705	86926.2602	1152.058652	9762.333085	71655.62095	3797.31731	7576.837907	264807.0084	2303.027123	1022937.109	13651606.24	252536.5938	620277.97	102917.0374	6838.972181	80115.71014	3886.070595	16457.33315	5344369.534	15977.80928	1517.398959	1235604.742	9960.844349	45994.94728	9232.568446	54890.2343	186181.2936	403756.134	26314.17874	9888.976041	11146.76327	33576.67831	8146221.511	7089.57151	350285.4613	21732.04476	101432.8281	61238.10547	403756.125	297814.9063	58226.14543	66448.06039
NM_24	39058.36002	26318.58884	5360.278024	157616.6964	19945.23229	93705.45302	19030.35606	3328.586069	11065.00312	2002.067913	46727.80789	117066.8782	1490.93127	1131.521665	75350.14157	5317.964003	33845.62137	267331.4328	2619.057823	743426.7346	10836711.45	269598.125	399511.5743	53881.98199	8789.134258	81601.23783	21767.2245	33976.14525	6199968.671	27155.69361	4116.947709	1574800.405	1097.036984	24169.87185	7880.685607	84353.16392	187142.3492	446764.1429	20367.09981	10451.67878	10484.78643	60844.41851	6558896.672	3749.335856	244786.375	1095.900118	131969.5313	24920.95117	446764.1563	374608.0313	62177.19737	84360.60796
NM_24	33866.48266	14558.14303	4696.615688	147607.8354	20559.43737	87717.71429	7185.033082	181661.5182	7235.756525	1243.893081	47103.69441	87740.53315	1385.005382	8319.81323	74838.9218	3299.677448	2325.79074	248741.7547	1934.785886	12132.48046	2118.273962	226417.75	217821.3354	83201.01723	2183.168808	71310.71084	11056.31238	21123.48655	5304587.17	1756.305741	4026.597232	1364539.669	10072.8495	32834.76014	12359.43209	55403.90565	182319.7739	378065.3105	14710.54684	10682.79556	3308.832242	29680.19999	7221974.524	4979.854972	260966.2785	6167.154093	107926.3438	33604.80469	378065.3125	299606.6563	74129.85894	88919.83835
NM_24	40348.6371	16927.57626	5658.625948	168467.6064	21257.99167	79536.19706	19826.21581	217279.2341	9653.460265	2146.017347	45852.17048	105209.7497	1017.066044	7788.681551	73221.18702	3753.421824	108416.3602	240356.042	1925.607525	10177.65117	12736959.08	239221.3281	473317.139	82944.86178	7751.437703	72402.25276	2379.281862	161065.6349	5824271.369	20610.71723	3777.193088	1489849.374	8916.599871	39851.91489	6785.31943	50974.2382	170728.0973	432482.4315	23465.22549	10446.99352	7576.606504	36377.17364	7127426.237	4672.605041	253505.6212	20064.85508	109364.9219	42597.18359	432482.4375	341094.8125	2737.61127	58034.10556
NM_inf_24	24843.06885	11039.5854	8193.828088	148605.8325	17997.87328	167198.9864	7480.004576	156331.5895	6331.72569	4180.347139	55129.89931	55989.72375	1682.967668	6481.448085	103008.3495	11647.47713	158923.7448	401620.8879	1952.993786	7560.364018	8556852.425	138618.5	174891.6934	7727.239721	13621.18877	76619.57266	20206.12327	130180.2558	80776.47789	6179.774158	3865.05492	978619.0075	11045.51401	3196.085307	4226.141525	106456.0845	193673.0784	357391.4395	16915.92537	8421.553727	35039.94525	52237.90049	5365496.802	4683.563917	226853.1263	31195.07999	79814.39844	5169.935547	357391.4375	298453.5625	97626.59261	60991.1932
NM_inf_24	66722.69376	13065.40571	7593.236912	229209.0093	23813.89925	86877.12969	24490.57984	211830.5379	13601.93585	6448.285389	58991.43121	94294.88647	1511.599632	13113.47492	82679.5032	6674.62842	17055.47509	233177.7116	2447.616195	1041745.875	12064182.36	133576.7344	541148.9466	152389.5109	7447.708656	70150.04811	15303.26161	25090.74489	226424.7335	14693.72468	5122.850039	1378346.352	9445.223559	50733.28274	10640.06195	30805.42948	172742.9119	493015.288	30342.96957	11921.08436	9878.952106	56974.39932	7626145.1	18493.8233	367504.0201	43850.83698	110669.9766	64053.91797	493015.2813	428551.125	63274.54565	95924.44347
NM_inf_24	12837.17613	10456.51115	5466.462078	75390.30467	15740.65501	152848.8764	8325.681966	159689.4847	2734.086017	5450.950286	43989.43913	69996.80293	1994.91377	4275.945035	90830.92805	5249.058317	201656.307	282650.946	1328.288165	9872.849293	7238268.816	46955.77734	177427.4481	46637.79732	10702.44552	89555.24369	15767.23135	128743.4805	2566678.027	10575.10039	4414.710749	751129.3266	13965.56354	13789.31262	11860.55198	27376.8994	196481.0104	146613.14	16931.05832	6613.299267	7655.407367	40050.90214	4641759.744	1236.333236	132029.4037	20428.2066	13710.96582	9167.716797	146613.1406	146477.2031	4001.246287	43579.49087
NM_inf_24	35406.47589	10276.01787	2180.507372	164698.6675	15558.59632	95264.6498	12723.02472	147876.2933	6841.636845	2546.076665	48400.41865	77523.56943	1494.452107	7584.63966	76126.96627	7608.664472	5067.602245	261975.9699	1311.591074	961911.0978	11255925.01	193939.2031	266014.0625	107214.027	10685.24827	71420.52395	15635.25985	29713.81059	172514.5773	27642.5725	4267.407451	1290307.304	9608.818093	27831.42954	17155.97306	64480.30799	178306.5219	443223.446	22180.19929	13171.6298	14691.04159	46347.68684	6714136.568	8131.47975	264760.5893	37922.05772	113808.0781	31140.95898	443223.4375	367706.7813	110904.0905	102934.3066
NM_inf_24	11371.29354	8992.86527	2721.893381	84679.6143	12476.9411	126539.3164	6743.393345	132705.703	4443.103364	1267.293758	40155.80885	67427.95399	1666.412746	3887.674748	80437.82587	8163.976749	227193.9481	298189.13	1787.782173	786904.6562	8741999.647	116221.4844	150045.9402	21861.17334	9271.531698	81335.15843	2305.687794	31650.9409	30104.52824	54152.71549	3257.028923	936199.1814	9980.559652	2030.762663	10168.15807	67753.00533	182648.7534	253460.6664	11605.45556	11823.60939	17732.13775	34991.8859	7589.237386	2237.635616	160218.396	20105.44875	49725.28906	7048.757813	253460.6719	215790.7813	117008.2021	74215.51144
NM_inf_24	26823.7231	11868.73094	4853.436124	144664.499	13332.36064	96525.32732	13193.73536	135454.1881	7677.014948	1847.389859	45378.9178	76332.04117	1271.443605	8131.648386	76799.006	3028.614024	96785.54869	215251.0861	1950.096544	906376.2482	11107892.03	224723.2031	485835.3435	123846.6097	8051.431579	67034.32336	12776.27311	23255.31939	115575.6277	21656.87131	9592.055581	1191668.515	9140.9126	34180.84326	8103.850371	54506.25765	168485.8668	379646.217	21900.34026	13187.55861	11595.90341	39931.71319	4658.169708	4890.395104	227787.207	29689.58267	94663.58594	36624.17969	379646.2188	336060.8438	61017.16221	76811.05037
AM_24	7943.679792	5188.479168	2915.184626	80917.96955	9022.490933	161828.0682	3694.642314	16621.62261	4954.744729	17356.95876	43338.53957	20753.72912	825.1654357	4119.294517	91529.09638	5655.205593	143609.7906	145890.3093	2129.767334	12203.36158	6677803.998	77208.625	151653.8966	132370.2088	35128.0909	89247.49959	17832.34153	62745.38622	12434.07029	29658.69412	4877.318884	1342743.091	5623.350704	3142.840705	12350.59195	59375.59216	204574.6045	182539.4233	5168.35021	10235.60047	16888.3947	35022.15114	5048671.229	2306.442674	184996.4717	63880.22778	25435.25	3117.205566	182539.4219	280900.2188	64682.27623	42254.7911
