treatment,RFC3,GLUA,P-loop,KU80,PSMC,KFase,GDPDL6-l,GDSL,Znf_RING/FYVE/PHD,IMPase,SS,PK,GRAS,HEATRL,CSLC04 ,OP-A,NAPRT,SDH,RLK,CHR28,RPK1,TBL32,unk,PPR,GT,GLYK,ALT2,CP,ER66,PGAM,MBL,GCFC2,RBCMT_PEA,RPL19,LEA,P-loop NTPase,DIR1-like,NDPK,Lgl1,PPR,DJ-1-like,PK,Nup,TGPA,PNPT,SBT1.7,ACSL2,O-FucT,RLKs,PTS1,2OG-FeII,DR,NADP-bR,DPH3,PCGF3,ATCase,HIPPs,OFP30,ALMT,Exo70,SufE-like-1
NM_24,15.99852651,21.54732406,19.01206459,10.28216164,,18.58203982,12.90154091,14.96880026,10.47098501,11.06044619,12.36635306,16.87879728,11.5717831,12.92954797,11.62892333,11.54234324,9.729904557,16.02055512,12.96862918,14.01801825,15.56903437,9.703064275,11.37532616,13.45087082,15.14862599,17.96484898,16.21186386,12.19030234,13.04582828,8.362862157,14.04485136,14.82757753,15.0791119,12.95312125,17.35339757,14.55926227,,15.39406206,8.432710317,10.53814217,16.5584973,14.08414799,13.94438807,18.67495915,11.05325632,16.87687696,9.468422867,14.95822453,7.43991812,14.02704499,16.1063767,11.17090254,14.20578378,12.63282794,10.61322567,19.6940796,17.11808608,13.94423758,,13.8227911,12.24686547
NM_24,17.13758143,21.67710217,18.83818798,13.90488246,10.72038349,18.42864623,13.19367191,16.04184804,12.43214314,9.727051635,11.52840787,17.10589463,11.23739568,12.49875279,10.90282637,12.00442415,11.08932367,16.6285929,15.78303229,13.95334689,14.08259298,10.8542128,11.93227533,15.11261138,15.50830911,18.31605298,15.6876339,11.99778409,11.77744374,9.355791118,14.28542223,13.16791624,14.08344856,11.74038135,17.06251878,13.32279849,9.728442808,13.38298792,8.268372486,8.409499182,16.77323058,14.98153985,13.99939208,18.30671144,12.06108774,17.25058841,9.766936273,13.940251,7.442940358,10.49242208,17.10382727,11.0929075,13.45750911,,10.93474289,19.19820509,16.98356816,14.36398905,9.983346533,11.50464375,12.99757809
NM_24,16.24693756,21.52044313,19.74232237,13.12577041,6.920572161,18.00860433,11.7583394,15.21256785,12.93993172,8.618411325,10.33003648,13.84785882,11.01140488,11.91878518,10.51424956,11.84374585,10.3305146,16.14044354,13.24909715,14.33714039,13.50379044,9.430538412,12.46922902,12.33919996,15.28256246,17.86891703,16.01910333,12.23023605,16.51955212,9.851562586,13.46596952,13.27346656,11.54713279,11.37832049,16.99296775,14.24895123,10.10034394,13.49245918,8.836899104,9.771870983,17.00955831,14.98039486,12.30985501,17.45356096,12.21313471,16.68583499,8.276140462,14.04864047,10.66409125,16.04716288,15.82591016,10.91151026,13.91760031,8.742955139,10.95145903,18.82420968,16.92439878,13.58884387,9.099444069,13.89656909,10.7043593
NM_inf_24,9.727655785,20.40184145,18.39086936,11.31779575,5.174644977,17.85014274,12.68132579,12.86388988,9.313412037,12.50062238,10.30951223,12.04877483,10.7791689,11.07112294,12.9629259,11.42221661,11.20084968,14.35241834,10.98916908,16.8543217,12.60448712,10.89498336,,17.47600863,13.14772208,17.1133955,14.69556997,12.04640059,12.1977308,9.5722774,11.69379073,11.34315221,9.357961898,7.979957075,15.57849899,14.51156871,8.586227402,14.47725459,10.07726368,9.562972824,16.15002397,10.33264681,9.838578144,17.7162767,15.24320168,15.89833724,8.759882037,11.86799585,6.876059224,10.22772346,12.33637471,10.64623349,14.13620308,7.47726327,13.94278014,17.8499958,15.51020421,10.84876977,13.12796214,9.832558187,10.12583468
NM_inf_24,12.29055426,20.43963626,18.09278449,14.04600029,9.449503975,17.93232026,12.93409914,12.89934386,7.806343904,12.25718522,10.42729247,11.64332314,13.85758006,9.839855641,11.01218898,10.1582306,9.627627572,13.82827584,12.54130722,13.7155375,14.58771227,11.34501487,9.961751406,16.67029795,13.95006062,19.0187688,14.57400538,12.14062979,12.18963272,9.182243957,11.78717067,12.37300849,9.116619086,7.719694374,15.56332468,13.08257006,9.915917042,14.74263025,9.165272556,12.27031268,15.54489607,11.44940394,9.415544719,16.64240421,14.95915626,15.57685941,9.443374813,11.73162725,13.85482583,10.9438879,12.49791777,10.91427299,14.60334292,12.39745144,13.73153396,17.97787278,15.51660617,8.685441137,13.01922326,11.4579203,9.486038639
NM_inf_24,12.79730068,20.58348573,18.01928331,12.02713375,4.301545136,17.65625803,11.49486898,12.65424083,8.780487322,12.48958457,10.518368,12.33340571,13.49673824,11.08693178,10.69733831,11.33358199,8.811641555,14.41271462,12.9405628,16.75768659,14.14896738,11.87071142,7.262247705,17.28703162,14.02464493,18.49890362,15.20921678,12.21346788,12.8305288,9.082179563,12.51107826,10.4543285,9.843844415,9.330910465,15.41805181,12.66183778,8.009783087,14.72175273,8.20879125,11.74864272,15.89012297,11.90729789,10.53080289,16.96944007,14.8320614,15.63646145,10.04472371,11.78921622,10.1901076,9.647499236,12.17032781,12.01974489,14.38104585,11.97513478,13.51597639,18.15032644,15.50866987,7.920087204,12.72455061,10.88883825,9.094358646
AM_24,15.73641426,20.2676795,18.24285236,10.4972523,12.23350462,16.80488647,14.58846298,15.66354088,12.48835125,9.931194848,13.43286632,15.45004125,9.47556491,10.53786821,13.15232883,13.23931905,10.42588454,13.59146994,15.74317212,13.51415033,11.39851646,12.38051137,11.58134076,17.62234597,14.61832003,16.30888398,15.8974157,13.17760777,16.16991643,11.51399568,13.20527146,14.5120935,13.6792948,11.78628718,15.36204745,16.51626827,9.339598475,12.17032087,12.05667878,14.89598211,15.46098727,13.31888893,13.07904549,14.30913905,15.14807471,14.93718073,6.805551291,12.40333256,8.821092204,16.05525297,15.14848266,12.16674381,15.65021596,6.718376409,13.64434915,17.64650009,16.31261763,8.054835692,12.79405076,14.59282739,12.80038682
AM_24,15.66799295,20.3742266,18.59910988,8.951495741,13.31872354,16.58486595,15.77724982,16.09161287,13.09109397,9.309268778,14.71008806,16.80759561,7.262244938,10.85350634,13.25473175,13.14810916,9.748714057,13.08137773,17.04824642,12.35516672,9.125322009,12.23257868,11.77801031,17.6492718,14.38170915,16.12311692,15.53706293,12.95695894,16.08403253,9.715854768,13.73748656,14.22382894,14.21006292,12.36849442,14.71017074,16.46861087,8.63600322,12.80386887,11.52510682,15.02340613,15.6783352,13.87546876,12.92938343,14.00733872,14.83082735,15.31101172,5.648885044,12.49915821,6.720972083,16.3309038,15.85160123,12.96291516,15.52109022,3.048925035,13.50277066,17.51407625,15.77737069,7.006400522,12.61615369,14.03102531,13.7920434
AM_24,15.06810525,20.34916938,17.09370305,8.133066294,13.02494497,16.99645213,14.9276578,15.87363575,12.57239929,10.02501206,13.56683421,15.76676053,10.29123878,11.0283474,11.21873988,13.55636317,9.627670955,13.78144626,15.43673495,12.68739876,9.844280924,12.53173707,11.67545653,17.49726837,14.76534175,16.5521888,15.69486589,13.51528044,16.20546291,9.577346853,13.37060569,14.27109713,13.14801076,11.00129786,14.97543303,15.83099798,9.144245057,12.09070672,11.07474394,14.24859727,14.84324231,13.65412663,13.48368268,14.36311229,15.60979364,14.96772547,7.568045389,12.41748938,6.824264997,16.04938874,15.27266053,13.3561014,15.81336474,,13.90593436,17.71819038,15.95473919,8.032018569,12.51445614,13.78411938,13.10741853
AM_inf_24,15.46443104,20.27066298,17.42074356,9.053161823,12.38144592,16.89258407,14.41953505,15.42644178,12.71532849,10.47910584,13.38045787,15.27284913,10.10063797,10.17029273,13.94624465,13.2507255,10.59916923,14.28027786,15.39662523,12.83578021,11.12746038,12.67023529,11.65961036,17.2394044,14.71386351,16.60961125,16.02205143,13.54453845,16.10113836,11.30205154,13.07577414,14.42076378,13.29242949,11.50636905,15.32031216,16.351562,7.058452415,12.14065729,11.68286388,14.33178983,15.10022088,13.75595075,12.99782304,14.66568585,15.06191797,15.06719061,8.912860536,12.60866192,10.63262619,16.0666647,15.07159393,13.25792112,15.36662599,9.550150902,14.13851421,17.90553943,16.10793547,7.138768002,12.598098,13.9049887,11.82645049
