SlyID	AthID
Solyc01g009080.5	AT2G21530
Solyc07g021020.4	AT1G67290
Solyc02g070870.4	AT1G23465
Solyc06g084500.3	AT4G03180
Solyc10g075100.2	AT3G51590
Solyc10g075107.1	AT3G51590
Solyc08g077380.4	AT4G18210
Solyc01g102960.3	AT4G10250
Solyc12g036300.3	AT5G61200
Solyc06g083550.1	AT3G24760
Solyc03g083880.4	AT5G62380
Solyc04g074000.3	AT4G08850
Solyc04g077640.4	AT3G10450
Solyc01g088790.3	AT1G28710
Solyc08g082470.1	AT4G23930
Solyc10g074950.2	AT5G43180
Solyc09g008620.3	AT2G36660
Solyc10g045240.2	AT5G44640
Solyc01g011430.4	AT5G53390
Solyc04g054510.4	AT3G25940
Solyc01g103990.3	AT1G22930
Solyc02g061820.4	AT5G66055
Solyc05g150152.1	AT1G49975
Solyc05g052710.3	AT2G38140
Solyc03g006047.1	AT2G03770
Solyc10g075100.2	AT2G38540
Solyc10g075107.1	AT2G38540
Solyc10g081980.2	AT5G06320
Solyc02g080410.3	AT4G21870
Solyc02g066980.1	AT5G15510
Solyc03g114710.4	AT1G73880
Solyc03g031460.1	AT1G55890
Solyc12g010170.2	AT2G24260
Solyc09g065370.3	AT3G22530
Solyc07g055170.1	AT5G57450
Solyc09g008970.1	AT3G10020
Solyc05g020020.4	AT5G48250
Solyc07g051930.3	AT1G05100
Solyc02g085160.1	AT2G18350
Solyc02g065630.4	AT1G67170
Solyc08g013690.1	AT1G01030
Solyc06g035430.3	AT4G25320
Solyc03g160400.1	ATMG00860
Solyc04g082910.1	AT1G76560
Solyc01g086940.2	AT5G08430
Solyc09g057883.1	AT2G03770
Solyc01g088100.4	AT5G12440
Solyc02g091260.1	AT2G01300
Solyc08g062960.5	AT4G17750
Solyc05g006540.3	AT1G70060
Solyc02g079530.4	AT1G11350
Solyc02g079540.2	AT1G11350
Solyc08g080780.4	AT1G63300
Solyc10g005090.3	AT5G08490
Solyc05g054390.4	AT3G16857
Solyc01g108670.4	AT3G19050
Solyc03g124050.3	AT5G35390
Solyc04g081260.3	AT1G19835
Solyc01g106980.3	AT4G33860
Solyc07g051840.5	AT4G04450
Solyc03g032180.3	AT2G17580
Solyc09g092640.3	AT5G57260
Solyc04g077640.4	AT2G22990
Solyc10g018520.1	AT5G35910
Solyc01g095610.4	AT4G01080
Solyc11g067180.2	AT3G44560
Solyc07g062770.2	AT3G15120
Solyc07g056650.5	AT1G17140
Solyc09g010150.5	AT5G15940
Solyc02g071500.2	AT1G17010
Solyc04g072940.4	AT1G78110
Solyc12g035520.3	AT1G67310
Solyc12g042470.2	AT1G59960
Solyc06g067870.3	AT1G52790
Solyc03g096790.3	AT3G49590
Solyc01g091500.3	AT2G45460
Solyc02g067840.3	AT3G27570
Solyc10g081830.3	AT3G02920
Solyc02g062630.1	AT1G71420
Solyc01g066050.3	AT3G16760
Solyc01g105230.4	AT5G64220
Solyc01g009160.2	AT2G27080
Solyc11g068750.2	AT5G22290
Solyc01g100260.4	AT1G09195
Solyc02g078350.3	AT4G21705
Solyc06g065680.3	AT5G25380
Solyc03g083380.5	AT5G53390
Solyc07g065910.1	AT5G56050
Solyc10g086270.2	AT1G66370
Solyc07g015960.1	AT2G19070
Solyc07g006760.4	AT5G57610
Solyc09g005000.1	AT5G01550
Solyc03g120510.1	AT3G27750
Solyc06g051760.3	AT5G05700
Solyc10g047640.3	AT4G24470
Solyc03g098440.4	AT3G17670
Solyc09g074930.3	AT2G47780
Solyc10g085620.2	AT5G18240
Solyc06g072220.1	AT1G17860
Solyc01g009880.2	AT5G13150
Solyc03g117040.3	AT4G00380
Solyc10g005140.1	AT2G46850
Solyc11g005290.1	AT1G49230
Solyc06g076910.3	AT3G47110
Solyc04g077640.4	AT1G73310
Solyc03g007390.4	AT5G40400
Solyc09g074050.3	AT4G02940
Solyc10g079840.2	AT3G57190
Solyc08g074913.1	AT5G33340
Solyc10g081220.3	AT2G41000
Solyc07g053540.1	AT5G44130
Solyc12g009110.4	AT4G35160
Solyc09g006000.3	AT5G02710
Solyc08g006980.3	AT2G35330
Solyc07g043160.1	AT4G15260
Solyc01g106980.3	AT4G33840
Solyc02g091120.4	AT1G66730
Solyc02g071470.5	AT1G17010
Solyc08g082900.4	AT1G64610
Solyc11g005320.1	AT1G49200
Solyc02g071450.3	AT1G17020
Solyc02g071410.3	AT1G17020
Solyc10g086780.2	AT5G20550
Solyc08g065500.2	AT4G32950
Solyc11g008520.3	AT3G03300
Solyc04g039810.1	ATCG00520
Solyc06g048900.1	AT2G40720
Solyc03g111880.3	AT3G48280
Solyc07g048000.3	AT5G48130
Solyc06g065680.3	AT1G80370
Solyc09g092500.1	AT4G15550
Solyc05g011870.1	AT3G45080
Solyc07g052940.4	AT4G15180
Solyc09g055500.1	AT3G45070
Solyc02g084910.5	AT5G17760
Solyc07g064710.3	AT3G20480
Solyc12g009190.2	AT3G42880
Solyc08g078320.3	AT2G39810
Solyc11g027800.1	AT1G13420
Solyc04g011540.4	AT3G55470
Solyc03g007150.3	AT5G62260
Solyc03g113620.3	AT1G19000
Solyc01g008060.3	AT1G24090
Solyc09g009980.3	AT2G36210
Solyc12g019960.2	AT5G19400
Solyc10g005440.3	AT1G61610
Solyc07g051880.1	AT1G05100
Solyc04g077650.3	AT2G22980
Solyc01g008050.4	AT1G70230
Solyc05g010010.1	AT3G25640
