geneID1	geneID2	reactionType	SlyID2	SlyID1
AT1G01620	AT2G16850	binding	Solyc10g055630.2	Solyc08g081190.3
AT1G01620	AT2G16850	binding	Solyc10g055630.2	Solyc01g094690.5
AT1G01620	AT2G16850	binding	Solyc10g055630.2	Solyc08g008045.1
AT1G01620	AT2G16850	binding	Solyc10g055630.2	Solyc12g056220.2
AT1G01620	AT1G01620	binding	Solyc08g081190.3	Solyc08g081190.3
AT1G01620	AT1G01620	binding	Solyc08g081190.3	Solyc01g094690.5
AT1G01620	AT1G01620	binding	Solyc08g081190.3	Solyc08g008045.1
AT1G01620	AT1G01620	binding	Solyc08g081190.3	Solyc12g056220.2
AT1G01620	AT1G01620	binding	Solyc08g008045.1	Solyc08g081190.3
AT1G01620	AT1G01620	binding	Solyc08g008045.1	Solyc01g094690.5
AT1G01620	AT1G01620	binding	Solyc08g008045.1	Solyc08g008045.1
AT1G01620	AT1G01620	binding	Solyc08g008045.1	Solyc12g056220.2
AT1G01620	AT1G01620	binding	Solyc12g056220.2	Solyc08g081190.3
AT1G01620	AT1G01620	binding	Solyc12g056220.2	Solyc01g094690.5
AT1G01620	AT1G01620	binding	Solyc12g056220.2	Solyc08g008045.1
AT1G01620	AT1G01620	binding	Solyc12g056220.2	Solyc12g056220.2
AT1G01620	AT2G16850	binding	Solyc02g083510.3	Solyc08g081190.3
AT1G01620	AT2G16850	binding	Solyc02g083510.3	Solyc01g094690.5
AT1G01620	AT2G16850	binding	Solyc02g083510.3	Solyc08g008045.1
AT1G01620	AT2G16850	binding	Solyc02g083510.3	Solyc12g056220.2
AT1G01620	AT2G26180	binding	Solyc08g062940.4	Solyc08g081190.3
AT1G01620	AT2G26180	binding	Solyc08g062940.4	Solyc01g094690.5
AT1G01620	AT2G26180	binding	Solyc08g062940.4	Solyc08g008045.1
AT1G01620	AT2G26180	binding	Solyc08g062940.4	Solyc12g056220.2
AT1G01620	AT2G36305	binding	Solyc09g009630.3	Solyc08g081190.3
AT1G01620	AT2G36305	binding	Solyc09g009630.3	Solyc01g094690.5
AT1G01620	AT2G36305	binding	Solyc09g009630.3	Solyc08g008045.1
AT1G01620	AT2G36305	binding	Solyc09g009630.3	Solyc12g056220.2
AT1G01620	AT4G35100	binding	Solyc02g083510.3	Solyc08g081190.3
AT1G01620	AT4G35100	binding	Solyc02g083510.3	Solyc01g094690.5
AT1G01620	AT4G35100	binding	Solyc02g083510.3	Solyc08g008045.1
AT1G01620	AT4G35100	binding	Solyc02g083510.3	Solyc12g056220.2
AT1G01620	AT1G01620	binding	Solyc01g094690.5	Solyc08g081190.3
AT1G01620	AT1G01620	binding	Solyc01g094690.5	Solyc01g094690.5
AT1G01620	AT1G01620	binding	Solyc01g094690.5	Solyc08g008045.1
AT1G01620	AT1G01620	binding	Solyc01g094690.5	Solyc12g056220.2
AT1G01620	AT3G66654	binding	Solyc10g083930.2	Solyc08g081190.3
AT1G01620	AT3G66654	binding	Solyc10g083930.2	Solyc01g094690.5
AT1G01620	AT3G66654	binding	Solyc10g083930.2	Solyc08g008045.1
AT1G01620	AT3G66654	binding	Solyc10g083930.2	Solyc12g056220.2
AT1G01620	AT2G16850	binding	Solyc09g007770.3	Solyc08g081190.3
AT1G01620	AT2G16850	binding	Solyc09g007770.3	Solyc01g094690.5
AT1G01620	AT2G16850	binding	Solyc09g007770.3	Solyc08g008045.1
AT1G01620	AT2G16850	binding	Solyc09g007770.3	Solyc12g056220.2
AT1G01620	AT2G45960	binding	Solyc08g081190.3	Solyc08g081190.3
AT1G01620	AT2G45960	binding	Solyc08g081190.3	Solyc01g094690.5
AT1G01620	AT2G45960	binding	Solyc08g081190.3	Solyc08g008045.1
AT1G01620	AT2G45960	binding	Solyc08g081190.3	Solyc12g056220.2
AT1G01620	AT2G16850	binding	Solyc09g007760.5	Solyc08g081190.3
AT1G01620	AT2G16850	binding	Solyc09g007760.5	Solyc01g094690.5
AT1G01620	AT2G16850	binding	Solyc09g007760.5	Solyc08g008045.1
AT1G01620	AT2G16850	binding	Solyc09g007760.5	Solyc12g056220.2
AT1G01620	AT2G45960	binding	Solyc08g008045.1	Solyc08g081190.3
AT1G01620	AT2G45960	binding	Solyc08g008045.1	Solyc01g094690.5
AT1G01620	AT2G45960	binding	Solyc08g008045.1	Solyc08g008045.1
AT1G01620	AT2G45960	binding	Solyc08g008045.1	Solyc12g056220.2
AT1G01620	AT4G00430	binding	Solyc01g094690.5	Solyc08g081190.3
AT1G01620	AT4G00430	binding	Solyc01g094690.5	Solyc01g094690.5
AT1G01620	AT4G00430	binding	Solyc01g094690.5	Solyc08g008045.1
AT1G01620	AT4G00430	binding	Solyc01g094690.5	Solyc12g056220.2
AT1G01620	AT2G45960	binding	Solyc12g056220.2	Solyc08g081190.3
AT1G01620	AT2G45960	binding	Solyc12g056220.2	Solyc01g094690.5
AT1G01620	AT2G45960	binding	Solyc12g056220.2	Solyc08g008045.1
AT1G01620	AT2G45960	binding	Solyc12g056220.2	Solyc12g056220.2
AT1G01620	AT2G45960	binding	Solyc03g096290.3	Solyc08g081190.3
AT1G01620	AT2G45960	binding	Solyc03g096290.3	Solyc01g094690.5
AT1G01620	AT2G45960	binding	Solyc03g096290.3	Solyc08g008045.1
AT1G01620	AT2G45960	binding	Solyc03g096290.3	Solyc12g056220.2
AT1G01620	AT4G35100	binding	Solyc10g055630.2	Solyc08g081190.3
AT1G01620	AT4G35100	binding	Solyc10g055630.2	Solyc01g094690.5
AT1G01620	AT4G35100	binding	Solyc10g055630.2	Solyc08g008045.1
AT1G01620	AT4G35100	binding	Solyc10g055630.2	Solyc12g056220.2
AT1G01620	AT3G66654	binding	Solyc09g008410.3	Solyc08g081190.3
AT1G01620	AT3G66654	binding	Solyc09g008410.3	Solyc01g094690.5
AT1G01620	AT3G66654	binding	Solyc09g008410.3	Solyc08g008045.1
AT1G01620	AT3G66654	binding	Solyc09g008410.3	Solyc12g056220.2
AT1G01620	AT4G00430	binding	Solyc08g081190.3	Solyc08g081190.3
AT1G01620	AT4G00430	binding	Solyc08g081190.3	Solyc01g094690.5
AT1G01620	AT4G00430	binding	Solyc08g081190.3	Solyc08g008045.1
AT1G01620	AT4G00430	binding	Solyc08g081190.3	Solyc12g056220.2
AT1G01620	AT4G00430	binding	Solyc03g096290.3	Solyc08g081190.3
AT1G01620	AT4G00430	binding	Solyc03g096290.3	Solyc01g094690.5
AT1G01620	AT4G00430	binding	Solyc03g096290.3	Solyc08g008045.1
AT1G01620	AT4G00430	binding	Solyc03g096290.3	Solyc12g056220.2
AT1G01620	AT2G45960	binding	Solyc01g094690.5	Solyc08g081190.3
